epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae,val/mse
,0.001,0,,,,,
0,,19,,1.5182466506958008,,,
0,,39,,1.4097344875335693,,,
0,,45,,,1.771897315979004,0.24157699942588806,0.09355849027633667
0,,45,4.253718852996826,,,,
,0.001,46,,,,,
1,,59,,1.3889001607894897,,,
1,,79,,1.3805571794509888,,,
1,,91,,,1.5730328559875488,0.17036201059818268,0.10841777175664902
1,,91,1.411470651626587,,,,
,0.001,92,,,,,
2,,99,,1.2612221240997314,,,
2,,119,,1.3906967639923096,,,
2,,137,,,1.29940664768219,0.1350618600845337,0.05950436741113663
2,,137,1.3802927732467651,,,,
,0.001,138,,,,,
3,,139,,1.3658069372177124,,,
3,,159,,1.4717401266098022,,,
3,,179,,1.1923664808273315,,,
3,,183,,,1.2897135019302368,0.14288848638534546,0.0600711852312088
3,,183,1.3265693187713623,,,,
,0.001,184,,,,,
4,,199,,1.2105528116226196,,,
4,,219,,1.2243679761886597,,,
4,,229,,,1.2185075283050537,0.14169941842556,0.06300123780965805
4,,229,1.2430897951126099,,,,
,0.001,230,,,,,
5,,239,,1.2326658964157104,,,
5,,259,,1.2690716981887817,,,
5,,275,,,1.2115503549575806,0.13514840602874756,0.0624796524643898
5,,275,1.228114128112793,,,,
,0.001,276,,,,,
6,,279,,1.171898365020752,,,
6,,299,,1.1588454246520996,,,
6,,319,,1.1647287607192993,,,
6,,321,,,1.181990385055542,0.12267503142356873,0.058603763580322266
6,,321,1.2029821872711182,,,,
,0.001,322,,,,,
7,,339,,1.120908260345459,,,
7,,359,,1.1958121061325073,,,
7,,367,,,1.173338532447815,0.12163522094488144,0.059771910309791565
7,,367,1.2036222219467163,,,,
,0.001,368,,,,,
8,,379,,1.0650290250778198,,,
8,,399,,1.187969446182251,,,
8,,413,,,1.1836893558502197,0.12388099730014801,0.060739271342754364
8,,413,1.1885926723480225,,,,
,0.001,414,,,,,
9,,419,,1.1596603393554688,,,
9,,439,,1.265706181526184,,,
9,,459,,1.191222906112671,,,
9,,459,,,1.1755093336105347,0.12365718185901642,0.06306399405002594
9,,459,1.1928832530975342,,,,
,0.001,460,,,,,
10,,479,,1.1251775026321411,,,
10,,499,,1.1621710062026978,,,
10,,505,,,1.1704684495925903,0.12233676016330719,0.05982831493020058
10,,505,1.1665972471237183,,,,
,0.001,506,,,,,
11,,519,,1.1355067491531372,,,
11,,539,,1.1962231397628784,,,
11,,551,,,1.1508923768997192,0.1228562593460083,0.060716621577739716
11,,551,1.1630908250808716,,,,
,0.001,552,,,,,
12,,559,,1.1869593858718872,,,
12,,579,,1.0873464345932007,,,
12,,597,,,1.1341300010681152,0.11548011749982834,0.05424989014863968
12,,597,1.1442044973373413,,,,
,0.001,598,,,,,
13,,599,,1.0678491592407227,,,
13,,619,,1.2098544836044312,,,
13,,639,,1.0618730783462524,,,
13,,643,,,1.1680936813354492,0.11707490682601929,0.048270031809806824
13,,643,1.1216503381729126,,,,
,0.001,644,,,,,
14,,659,,1.023385763168335,,,
14,,679,,1.0987995862960815,,,
14,,689,,,1.0758726596832275,0.10738115757703781,0.048647139221429825
14,,689,1.0741102695465088,,,,
,0.001,690,,,,,
15,,699,,1.0419849157333374,,,
15,,719,,1.025851845741272,,,
15,,735,,,1.023489236831665,0.10515987873077393,0.04342031851410866
15,,735,1.0535062551498413,,,,
,0.001,736,,,,,
16,,739,,1.098128080368042,,,
16,,759,,1.0065817832946777,,,
16,,779,,1.0100566148757935,,,
16,,781,,,1.0110299587249756,0.09620748460292816,0.03486288711428642
16,,781,1.025506615638733,,,,
,0.001,782,,,,,
17,,799,,1.0147603750228882,,,
17,,819,,0.9898566603660583,,,
17,,827,,,0.9945670962333679,0.08972180634737015,0.0297084953635931
17,,827,0.9924092888832092,,,,
,0.001,828,,,,,
18,,839,,0.9183802604675293,,,
18,,859,,0.9392978549003601,,,
18,,873,,,0.9316423535346985,0.084300197660923,0.02840818278491497
18,,873,0.9605145454406738,,,,
,0.001,874,,,,,
19,,879,,0.9365633130073547,,,
19,,899,,0.9682785272598267,,,
19,,919,,0.9261828660964966,,,
19,,919,,,0.9031628966331482,0.08260881155729294,0.025909824296832085
19,,919,0.9268477559089661,,,,
,0.001,920,,,,,
20,,939,,0.8781852722167969,,,
20,,959,,0.8977926969528198,,,
20,,965,,,0.8901461362838745,0.07931520789861679,0.0248734038323164
20,,965,0.9049379229545593,,,,
,0.001,966,,,,,
21,,979,,0.8698239922523499,,,
21,,999,,0.8743463754653931,,,
21,,1011,,,0.8445618152618408,0.07429865002632141,0.020744802430272102
21,,1011,0.8744938373565674,,,,
,0.001,1012,,,,,
22,,1019,,0.9092368483543396,,,
22,,1039,,0.7858734130859375,,,
22,,1057,,,0.7932635545730591,0.0679113045334816,0.017017848789691925
22,,1057,0.837311327457428,,,,
,0.001,1058,,,,,
23,,1059,,0.8160701990127563,,,
23,,1079,,0.862350583076477,,,
23,,1099,,0.8410101532936096,,,
23,,1103,,,0.8117789030075073,0.06943545490503311,0.016568537801504135
23,,1103,0.8200519680976868,,,,
,0.001,1104,,,,,
24,,1119,,0.870970606803894,,,
24,,1139,,0.7630764842033386,,,
24,,1149,,,0.7540765404701233,0.06493870168924332,0.014652214013040066
24,,1149,0.8114587068557739,,,,
,0.001,1150,,,,,
25,,1159,,0.7480522394180298,,,
25,,1179,,0.7474020719528198,,,
25,,1195,,,0.7313575148582458,0.0624651275575161,0.015249225310981274
25,,1195,0.715721845626831,,,,
,0.001,1196,,,,,
26,,1199,,0.68901127576828,,,
26,,1219,,0.6781520843505859,,,
26,,1239,,0.6409885883331299,,,
26,,1241,,,0.6428743600845337,0.054483797401189804,0.012229006737470627
26,,1241,0.7015669345855713,,,,
,0.001,1242,,,,,
27,,1259,,0.6654247641563416,,,
27,,1279,,0.6913359761238098,,,
27,,1287,,,0.6418293118476868,0.053814176470041275,0.012205634266138077
27,,1287,0.6545194983482361,,,,
,0.001,1288,,,,,
28,,1299,,0.6536787748336792,,,
28,,1319,,0.623832106590271,,,
28,,1333,,,0.5981410145759583,0.052628856152296066,0.012948743999004364
28,,1333,0.6388676166534424,,,,
,0.001,1334,,,,,
29,,1339,,0.5672950148582458,,,
29,,1359,,0.6499196887016296,,,
29,,1379,,0.6068611145019531,,,
29,,1379,,,0.6040052175521851,0.052981916815042496,0.011797696352005005
29,,1379,0.6026931405067444,,,,
,0.001,1380,,,,,
30,,1399,,0.6035555005073547,,,
30,,1419,,0.5784048438072205,,,
30,,1425,,,0.5839889645576477,0.04994001239538193,0.010567930527031422
30,,1425,0.6051217317581177,,,,
,0.001,1426,,,,,
31,,1439,,0.5886666774749756,,,
31,,1459,,0.581139087677002,,,
31,,1471,,,0.5898010730743408,0.0493755005300045,0.010640585795044899
31,,1471,0.6200825572013855,,,,
,0.001,1472,,,,,
32,,1479,,0.6750056743621826,,,
32,,1499,,0.5543719530105591,,,
32,,1517,,,0.5713197588920593,0.046952422708272934,0.009071054868400097
32,,1517,0.5857917070388794,,,,
,0.001,1518,,,,,
33,,1519,,0.5567067265510559,,,
33,,1539,,0.5284900665283203,,,
33,,1559,,0.6760579943656921,,,
33,,1563,,,0.5604189038276672,0.04710008576512337,0.009656255133450031
33,,1563,0.5675447583198547,,,,
,0.001,1564,,,,,
34,,1579,,0.5341536402702332,,,
34,,1599,,0.6323068737983704,,,
34,,1609,,,0.5328037142753601,0.04336687922477722,0.00823607575148344
34,,1609,0.5621092319488525,,,,
,0.001,1610,,,,,
35,,1619,,0.5149699449539185,,,
35,,1639,,0.5099672079086304,,,
35,,1655,,,0.544928789138794,0.044554486870765686,0.008290101774036884
35,,1655,0.546292245388031,,,,
,0.001,1656,,,,,
36,,1659,,0.5398499369621277,,,
36,,1679,,0.5537909865379333,,,
36,,1699,,0.6146880388259888,,,
36,,1701,,,0.5831361413002014,0.047834090888500214,0.009365162812173367
36,,1701,0.5420187711715698,,,,
,0.001,1702,,,,,
37,,1719,,0.5966336727142334,,,
37,,1739,,0.5918046236038208,,,
37,,1747,,,0.5080049633979797,0.04266337677836418,0.00876577291637659
37,,1747,0.5631510615348816,,,,
,0.001,1748,,,,,
38,,1759,,0.49869415163993835,,,
38,,1779,,0.47235968708992004,,,
