epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae
,0.001,0,,,,
0,,19,,0.033550672233104706,,
0,,39,,0.04246623441576958,,
0,,45,,,0.0445614829659462,0.10786430537700653
0,,45,0.05045967176556587,,,
,0.001,46,,,,
1,,59,,0.039860229939222336,,
1,,79,,0.03765203058719635,,
1,,91,,,0.04405975714325905,0.10744087398052216
1,,91,0.04885607585310936,,,
,0.001,92,,,,
2,,99,,0.04696299880743027,,
2,,119,,0.040128301829099655,,
2,,137,,,0.04464764893054962,0.10748756676912308
2,,137,0.04976728931069374,,,
,0.001,138,,,,
3,,139,,0.05068013444542885,,
3,,159,,0.048695970326662064,,
3,,179,,0.06139320507645607,,
3,,183,,,0.04494267329573631,0.11155737191438675
3,,183,0.04887750372290611,,,
,0.001,184,,,,
4,,199,,0.036625936627388,,
4,,219,,0.052059970796108246,,
4,,229,,,0.044513508677482605,0.10754305124282837
4,,229,0.04888231307268143,,,
,0.001,230,,,,
5,,239,,0.04338536038994789,,
5,,259,,0.043287649750709534,,
5,,275,,,0.0445997416973114,0.10739975422620773
5,,275,0.05029686167836189,,,
,0.001,276,,,,
6,,279,,0.04657537862658501,,
6,,299,,0.05909804627299309,,
6,,319,,0.07359661906957626,,
6,,321,,,0.4127728044986725,0.6134102940559387
6,,321,0.06761901825666428,,,
,0.001,322,,,,
7,,339,,0.042656201869249344,,
7,,359,,0.04539952799677849,,
7,,367,,,0.04473014175891876,0.10984822362661362
7,,367,0.0827726498246193,,,
,0.0005,368,,,,
8,,379,,0.05356493219733238,,
8,,399,,0.03320581093430519,,
8,,413,,,0.044560350477695465,0.108244888484478
8,,413,0.04889659956097603,,,
,0.0005,414,,,,
9,,419,,0.04211900010704994,,
9,,439,,0.04116370156407356,,
9,,459,,0.06420070677995682,,
9,,459,,,0.0445404015481472,0.10780361294746399
9,,459,0.048853691667318344,,,
,0.0005,460,,,,
10,,479,,0.05047614872455597,,
10,,499,,0.04336194321513176,,
10,,505,,,0.04454044625163078,0.10797679424285889
10,,505,0.048856571316719055,,,
,0.0005,506,,,,
11,,519,,0.04295073822140694,,
11,,539,,0.04425009712576866,,
11,,551,,,0.04457518830895424,0.10740330070257187
11,,551,0.04885387048125267,,,
